date,½µÓê¾ùÖµ,Õô·¢,flow
2007/3/4,9.03,0.9,17.7
2007/3/5,1.45,2.5,16
2007/3/6,0,2.3,12.8
2007/3/7,1.27,1.4,11.2
2007/3/8,1.97,0.7,9.78
2007/3/9,7.83,0.1,10.5
2007/3/10,3.08,0,15.6
2007/3/11,1.35,1.1,14.5
2007/3/12,14.58,0.1,22.7
2007/3/13,0.67,0.3,36.5
2007/3/14,0.17,0.5,36.7
2007/3/15,1.32,0.7,30.2
2007/3/16,2.48,1.3,25.7
2007/3/17,7.58,1.4,22.1
2007/3/18,18.75,0.3,22.1
2007/3/19,0.08,1.2,49.8
2007/3/20,0,1.3,50.1
2007/3/21,0,1.7,33.8
2007/3/22,0,1.5,26.2
2007/3/23,0.32,0.9,22
2007/3/24,20.27,0.1,25.8
2007/3/25,14.25,1,41.9
2007/3/26,46.87,0.3,61.4
2007/3/27,0,1.5,444
2007/3/28,0,2.2,121
2007/3/29,0,1,62.4
2007/3/30,0,2.3,50.1
2007/3/31,0,1.5,40.8
2007/4/1,38.63,0.6,49
2007/4/2,9.37,2.1,220
2007/4/3,0,1.8,131
2007/4/4,0,2.2,75.5
2007/4/5,0.08,1.3,58
2007/4/6,0,1.7,48.3
2007/4/7,0.38,2.3,40.1
2007/4/8,0,2,37.4
2007/4/9,0,2.2,35.4
2007/4/10,0.2,1.3,28.2
2007/4/11,0,2.6,32.6
2007/4/12,0,3.1,25.9
2007/4/13,0,3.3,20
2007/4/14,25.83,1.5,17.8
2007/4/15,0,2,28
2007/4/16,0,2.2,23.8
2007/4/17,29.37,1.6,26.8
2007/4/18,0.08,3.1,65.4
2007/4/19,0,3.1,39.5
2007/4/20,0.08,2.7,28.7
2007/4/21,0.83,1.8,23.9
2007/4/22,71.37,0.8,37.4
2007/4/23,48.72,0,326
2007/4/24,1.87,0.9,453
2007/4/25,0,2.1,178
2007/4/26,0,1.7,85.4
2007/4/27,10.23,0.8,64.3
2007/4/28,7.12,0.8,62.5
2007/4/29,22.18,0.2,65.6
2007/4/30,11.53,1.4,160
2007/5/1,0,2.5,135
2007/5/2,0,3.1,75
2007/5/3,0,3.4,58.5
2007/5/4,2.48,2,49.9
2007/5/5,4.03,1.1,44.4
2007/5/6,0,3.9,35.9
2007/5/7,0,3.9,27.2
2007/5/8,0,3.2,27.6
2007/5/9,0,2.7,21.5
2007/5/10,0,3.8,19.1
2007/5/11,0,3.8,17
2007/5/12,19.28,2.8,17.5
2007/5/13,8.62,1.5,33.9
2007/5/14,0,2.4,46.7
2007/5/15,4.63,1.4,36
2007/5/16,4.22,1.4,29
2007/5/17,0,3.3,36
2007/5/18,0,1.6,24.6
2007/5/19,0,2.9,23.9
2007/5/20,0,5,25
2007/5/21,0,5.3,23.7
2007/5/22,1.57,3.1,20.5
2007/5/23,4.32,0.9,13.2
2007/5/24,24.27,0.7,9.45
2007/5/25,18.45,1.3,60.9
2007/5/26,1.92,1.1,53.7
2007/5/27,1.47,0.2,40.6
2007/5/28,7.62,1.4,33.7
2007/5/29,2.63,2.6,48.3
2007/5/30,0,2.2,35.1
2007/5/31,7.5,1.7,26.2
2007/6/1,6.35,1.9,29.9
2007/6/2,23.08,1,29.7
2007/6/3,28.33,1.1,82.7
2007/6/4,18.33,1.5,177
2007/6/5,16.02,0.3,289
2007/6/6,0.67,1.9,206
2007/6/7,10.13,2.4,85.3
2007/6/8,0.75,1.8,79.3
2007/6/9,15.37,1.7,61.3
2007/6/10,26.88,0.3,93
2007/6/11,0.33,1.2,193
2007/6/12,0.53,1.7,99.6
2007/6/13,28.8,0.3,96.5
2007/6/14,24.75,0.2,207
2007/6/15,0.08,3,248
2007/6/16,0,3.1,112
2007/6/17,5.25,3.4,76.5
2007/6/18,2.4,2.9,72.2
2007/6/19,13.33,2.3,64.5
2007/6/20,0.5,2,69.9
2007/6/21,5.32,3.9,57.7
2007/6/22,24.77,2.8,62.6
2007/6/23,0,2.6,144
2007/6/24,2.17,4.1,69.3
2007/6/25,45.13,3.7,73.7
2007/6/26,1.28,2.4,349
2007/6/27,0.08,3.6,112
2007/6/28,26.35,2.4,75.7
2007/6/29,0.12,4.4,162
2007/6/30,0,3.9,78.4
2007/7/1,0.25,4.4,54.8
2007/7/2,0,3.8,46.1
2007/7/3,0.58,4.7,36.9
2007/7/4,0,4.5,32.4
2007/7/5,0,4.3,28.9
2007/7/6,0,3.7,23.8
2007/7/7,0,4.4,24.4
2007/7/8,0,4.1,24.3
2007/7/9,0,5.4,21.5
2007/7/10,0.6,3.3,21.4
2007/7/11,0.03,2.2,21.2
2007/7/12,13.08,4.4,20.6
2007/7/13,0.17,3.9,22.4
2007/7/14,19.82,2.6,28.4
2007/7/15,11.4,3.5,35.1
2007/7/16,40.63,2.8,38.1
2007/7/17,0,1.8,147
2007/7/18,0,4.5,54
2007/7/19,0,3.3,35.1
2007/7/20,0,5.3,32.1
2007/7/21,0,4.7,24.6
2007/7/22,2.37,4.1,22.7
2007/7/23,0,4.3,23.5
2007/7/24,0.08,5.3,17.7
2007/7/25,0,4.2,18
2007/7/26,8.52,6.1,13.1
2007/7/27,0.17,5.6,15.5
2007/7/28,0.08,5,12.4
2007/7/29,0,5.4,13.9
2007/7/30,0,6.1,15.2
2007/7/31,0,5.4,10.9
2007/8/1,0,5.3,8.22
2007/8/2,0,6,7.19
2007/8/3,16.18,4.3,8.72
2007/8/4,0.08,2.1,19.9
2007/8/5,13.9,3.1,13.6
2007/8/6,2.62,2.2,24.7
2007/8/7,0,4.6,24.8
2007/8/8,0.33,2.7,25.9
2007/8/9,0,3.9,18.3
2007/8/10,0.08,3.3,14.4
2007/8/11,0.42,4.6,11.7
2007/8/12,26.9,2.3,11.3
2007/8/13,0.45,2.2,32.9
2007/8/14,13.4,2.3,24.4
2007/8/15,12.65,0.4,26
2007/8/16,0.08,3.5,42.7
2007/8/17,0.5,1.6,35.8
2007/8/18,23.53,0.1,34.5
2007/8/19,34.05,0.1,137
2007/8/20,27.05,1.2,333
2007/8/21,0.23,1.1,171
2007/8/22,2.4,2.8,67.2
2007/8/23,1.15,2.4,56.4
2007/8/24,0.17,3.1,49.4
2007/8/25,0.25,1.1,43
2007/8/26,56.57,2.3,121
2007/8/27,3.48,2.5,250
2007/8/28,9.43,3.1,76.9
2007/8/29,26.23,3,60.4
2007/8/30,9.12,4.3,114
2007/8/31,1.25,4.4,91.8
2007/9/1,23.58,3.7,72.7
2007/9/2,17.3,3.2,128
2007/9/3,20.53,1.7,230
2007/9/4,0.4,2.8,168
2007/9/5,0.2,2.1,100
2007/9/6,0,2.3,72.1
2007/9/7,1.12,3.7,58.9
2007/9/8,2.6,2.3,45.6
2007/9/9,0,2,43.5
2007/9/10,4.17,1.4,39.2
2007/9/11,0.57,1.1,39.3
2007/9/12,0,3.8,36.5
2007/9/13,0,3.3,32.8
2007/9/14,0,3.4,26.4
2007/9/15,0,2.9,21.5
2007/9/16,0,1.9,19.4
2007/9/17,1.32,3.3,19.2
2007/9/18,7.9,1.5,26.5
2007/9/19,16.9,1.3,42.9
2007/9/20,1.87,0.9,48.1
2007/9/21,0,1.5,32.4
2007/9/22,0.08,1.3,24.3
2007/9/23,0.17,1.3,19.7
2007/9/24,0,1.9,21.9
2007/9/25,0,3.5,19.9
2007/9/26,0,2.9,19.7
2007/9/27,0,3.8,17.3
2007/9/28,0.25,3.4,14.6
2007/9/29,0,3.1,18
2007/9/30,0,0.9,17.5
2007/10/1,0,2.8,18.1
2007/10/2,0,3,14.2
2007/10/3,0,3.7,15.7
2007/10/4,0,3.8,13.8
2007/10/5,0,3.5,17.3
2007/10/6,2.42,1.9,21.8
2007/10/7,21.17,0.3,22.1
2007/10/8,13.28,2.2,49.1
2007/10/9,0,2.5,61.6
2007/10/10,0,2.1,43.2
2007/10/11,0,2.3,37.5
2007/10/12,0,3.4,27.4
2007/10/13,0,3,22.4
2007/10/14,0,2.9,19.7
2007/10/15,0,3.3,19.8
2007/10/16,0,2.9,15.4
2007/10/17,0,3.3,15.8
2007/10/18,0,2.7,21.8
2007/10/19,0,3.3,18.8
2007/10/20,0,3.2,16.5
2007/10/21,0,3.2,11.3
2007/10/22,0,3.1,12
2007/10/23,0,2.6,12.9
2007/10/24,0,2.7,16
2007/10/25,0,2.1,19.2
2007/10/26,0,3.3,15.1
2007/10/27,0,3.1,16.9
2007/10/28,0,2.5,16.6
2007/10/29,0,2.2,14.2
2007/10/30,0,2.7,18
2007/10/31,0.62,1.4,10.7
2007/11/1,0,2.5,7.33
2007/11/2,0,2.8,7.33
2007/11/3,0,2.8,8.7
2007/11/4,0,2.4,9.54
2007/11/5,0,2,16.8
2007/11/6,0,2.9,14.2
2007/11/7,0,2.2,11.1
2007/11/8,0,2.4,12.2
2007/11/9,0,2.6,11.2
2007/11/10,0,2.3,10.1
2007/11/11,0,2.6,9.81
2007/11/12,0,2.5,10.1
2007/11/13,0,1.8,9.68
2007/11/14,0,1.7,11.4
2007/11/15,0,1.5,10.4
2007/11/16,0,1.5,10
2007/11/17,0.67,1.1,10.9
2007/11/18,4.03,1.4,12
2007/11/19,0,1.3,11.1
2007/11/20,0,1.9,11.6
2007/11/21,0,2,11
2007/11/22,0,1.9,10.7
2007/11/23,0,1.7,9.57
2007/11/24,0,1.9,9.8
2007/11/25,0.78,0.7,11.9
2007/11/26,0.25,1.3,11
2007/11/27,0,2.5,12.5
2007/11/28,0,2.5,10.4
2007/11/29,0,2.1,10.1
2007/11/30,0,1.7,10.4
2007/12/1,0,1.7,9.78
2007/12/2,0,1.7,9.03
2007/12/3,0,1.6,10.2
2007/12/4,0,1.5,10.2
2007/12/5,0,0.9,10.5
2007/12/6,0,1.3,9.73
2007/12/7,0,1.4,9.93
2007/12/8,0,1.3,13.1
2007/12/9,0,1,9.41
2007/12/10,0,1,9.42
2007/12/11,0,0.7,8.48
2007/12/12,0,1.8,8.97
2007/12/13,0,2.4,9.55
2007/12/14,0.05,1.3,11.6
2007/12/15,0,0.6,10.3
2007/12/16,0,1.2,11.7
2007/12/17,5.58,0.5,9.11
2007/12/18,20.47,0.6,9.98
2007/12/19,0,1,22.1
2007/12/20,0,0.6,21.2
2007/12/21,7.35,0.2,18.8
2007/12/22,1.38,0.3,18.8
2007/12/23,16.57,0.5,19.1
2007/12/24,0.95,0.8,22.5
2007/12/25,0,1,23.3
2007/12/26,0.42,1.2,17.4
2007/12/27,0,1.1,14.3
2007/12/28,3.23,1.1,6.91
2007/12/29,0.52,1.6,8.53
2007/12/30,0,2.4,8.72
2007/12/31,0,2,8.88
2008/1/1,0,2.1,8.59
2008/1/2,0,1.7,10.2
2008/1/3,0,1.4,14.7
2008/1/4,0,1,8.46
2008/1/5,0,1.2,7.16
2008/1/6,0,1.2,8.97
2008/1/7,0,1,9.62
2008/1/8,0,0.4,8.66
2008/1/9,0,0.7,8.82
2008/1/10,0,0.8,9.83
2008/1/11,0,1,10.1
2008/1/12,0,2.5,9.09
2008/1/13,0,2.2,11.8
2008/1/14,0,1.8,11.2
2008/1/15,0,1.4,8
2008/1/16,0,1.3,8.02
2008/1/17,0,1,8.84
2008/1/18,0,0.9,8.72
2008/1/19,0,0.4,7.74
2008/1/20,0.83,0.9,6.23
2008/1/21,0,0.9,8.33
2008/1/22,0.17,0.9,8.16
2008/1/23,0.08,1.1,11
2008/1/24,0,1.5,7.99
2008/1/25,13.15,0.2,8.26
2008/1/26,13.38,0.1,9.33
2008/1/27,6.83,0.1,20.3
2008/1/28,21.57,1.1,22.6
2008/1/29,4.07,0.4,43.8
2008/1/30,16.2,0.1,49
2008/1/31,5.85,0.4,47.5
2008/2/1,46.58,0.6,48
2008/2/2,8.8,0.4,237
2008/2/3,0,0.6,125
2008/2/4,1.98,0.2,63.8
2008/2/5,5.3,0.5,56.6
2008/2/6,0.08,1,56.2
2008/2/7,0.17,0.6,45.7
2008/2/8,0.17,0.9,28.6
2008/2/9,0,1.1,30.6
2008/2/10,0,1.4,24.5
2008/2/11,0,1.1,27.8
2008/2/12,0,1.6,27.7
2008/2/13,0,1.9,25.7
2008/2/14,0,2.1,20.7
2008/2/15,0,1.9,14.7
2008/2/16,0,2.1,16.6
2008/2/17,2.43,1.4,13
2008/2/18,3.33,0.6,11.1
2008/2/19,0,0.8,12.2
2008/2/20,0,1.5,17.5
2008/2/21,0,1.6,14.3
2008/2/22,0,0.8,11.9
2008/2/23,0,1.6,11.3
2008/2/24,0,2.1,12.3
2008/2/25,6.48,0.8,11.5
2008/2/26,1.42,1.4,12.8
2008/2/27,0,2,13.8
2008/2/28,0,1.8,14.3
2008/2/29,0,2.2,11.8
2008/3/1,0,2.7,10
2008/3/2,0,2.5,9.53
2008/3/3,0,2.8,7.91
2008/3/4,0,2.8,8.6
2008/3/5,0,2.2,10.2
2008/3/6,0,2,9.78
2008/3/7,1.7,0.7,8.53
2008/3/8,0.92,0.7,10.8
2008/3/9,0,2.3,12.7
2008/3/10,0,1,9.56
2008/3/11,0,2.6,10.9
2008/3/12,0.12,2.6,9.6
2008/3/13,13.03,0.2,9.72
2008/3/14,0.08,2.1,14.6
2008/3/15,0.55,2.6,15.5
2008/3/16,23.53,0.7,10.5
2008/3/17,17.83,0.2,33.6
2008/3/18,5.33,0.1,60.5
2008/3/19,0,2.6,66.5
2008/3/20,0.25,2.9,37
2008/3/21,10.57,1,37.4
2008/3/22,8.08,0.3,36.1
2008/3/23,0,4.1,46.9
2008/3/24,0,3.3,31.2
2008/3/25,0,2.9,27.9
2008/3/26,0,4,25.1
2008/3/27,0,3.6,19.7
2008/3/28,43.65,2.9,25.1
2008/3/29,17.93,0.7,115
2008/3/30,7.02,1.9,169
2008/3/31,4.02,1.5,99.9
2008/4/1,0,1.4,80.8
2008/4/2,5.93,0.1,67.8
2008/4/3,2.07,0.4,57.1
2008/4/4,17.25,0.1,57.1
2008/4/5,0.25,0.4,93.2
2008/4/6,0,1.4,62.9
2008/4/7,0,1.2,62
2008/4/8,21.43,2.3,53.5
2008/4/9,0,3.1,71.3
2008/4/10,16.85,4.8,54.2
2008/4/11,81.73,0.4,153
2008/4/12,5.22,0.5,629
2008/4/13,2.08,0.5,203
2008/4/14,2.08,0.6,117
2008/4/15,24.32,0.2,90
2008/4/16,2.75,1.8,126
2008/4/17,0,3.5,108
2008/4/18,0,4.6,79.6
2008/4/19,0,3.1,63.2
2008/4/20,27.25,0.7,68.7
2008/4/21,0.5,1.1,111
2008/4/22,0.17,2.5,75.7
2008/4/23,0.08,3.1,58.6
2008/4/24,0,4,48.7
2008/4/25,0,4.1,45.9
2008/4/26,0,3.2,42.8
2008/4/27,0,3.7,35
2008/4/28,0.17,4.5,34.3
2008/4/29,0,4.5,30.4
2008/4/30,1.42,0.9,33.1
2008/5/1,0,3.7,27.8
2008/5/2,0,3.7,22.3
2008/5/3,0,3.4,18.1
2008/5/4,11.85,0.2,16.9
2008/5/5,2.48,4.4,22.5
2008/5/6,0.43,3.7,22.7
2008/5/7,4.27,0.8,19.1
2008/5/8,13.65,0.1,26.4
2008/5/9,9.08,0.7,36.3
2008/5/10,0.08,4.1,45.1
2008/5/11,0,4.3,41.4
2008/5/12,0,4.4,19.2
2008/5/13,0,6,25
2008/5/14,0,4.8,22.2
2008/5/15,0,3.4,15
2008/5/16,0,4.6,9.1
2008/5/17,0,5.2,7.71
2008/5/18,3.78,2.8,7.87
2008/5/19,0.45,4.2,8.85
2008/5/20,0,5.5,12.7
2008/5/21,1.28,1.9,11.1
2008/5/22,0.08,1.9,12.5
2008/5/23,45.68,0.7,10.1
2008/5/24,1.23,0.4,60.3
2008/5/25,5.88,3.3,46.7
2008/5/26,0.15,3.3,31.6
2008/5/27,0.22,4.5,28.5
2008/5/28,7.73,3.4,27
2008/5/29,18.08,0.7,33.6
2008/5/30,21.92,3.4,117
2008/5/31,0.58,2.5,122
2008/6/1,8.03,1.4,69.3
2008/6/2,0,2.4,59.6
2008/6/3,0,2.8,45
2008/6/4,0,3.6,31.2
2008/6/5,0,4,27.7
2008/6/6,0,2.2,27
2008/6/7,2.27,2.8,29
2008/6/8,5.07,1.7,26.1
2008/6/9,3.07,1.7,31.9
2008/6/10,25.57,1.7,29.3
2008/6/11,23.88,0.6,59
2008/6/12,22.28,0.6,109
2008/6/13,42.42,0.3,197
2008/6/14,11.8,0.7,335
2008/6/15,0,3.6,194
2008/6/16,1.08,2.5,100
2008/6/17,7.52,1.5,78.1
2008/6/18,6.97,0.2,76.5
2008/6/19,1.33,2.3,76.8
2008/6/20,0,4.7,57
2008/6/21,0,4.8,43.1
2008/6/22,0,3.7,36.3
2008/6/23,0,4.7,35
2008/6/24,0,4.6,35.1
2008/6/25,0.53,5.8,29
2008/6/26,16.07,3.4,31
2008/6/27,21.53,0.9,43.9
2008/6/28,2.73,1.7,66.5
2008/6/29,35.97,1.2,48.5
2008/6/30,3.23,3,129
2008/7/1,0,4.2,70.8
2008/7/2,0,5.5,39.9
2008/7/3,0,4.5,33.6
2008/7/4,0,6,24.6
2008/7/5,0,6.6,18.7
2008/7/6,16.7,7.7,18.5
2008/7/7,0.08,6.2,24.3
2008/7/8,0.73,3.6,30.3
2008/7/9,0.25,3.7,24.5
2008/7/10,0.23,5.1,19.3
2008/7/11,0,3.7,21.7
2008/7/12,1,4,27.9
2008/7/13,2.6,5.6,26.5
2008/7/14,2.25,5.5,21.8
2008/7/15,1.7,6.8,22.5
2008/7/16,2.17,6.1,23.9
2008/7/17,0,5,16.4
2008/7/18,34.9,4.3,16.7
2008/7/19,70.32,1.1,303
2008/7/20,0,3.5,268
2008/7/21,1.2,3.1,88.1
2008/7/22,0,3.9,63.1
2008/7/23,0,5.4,47.9
2008/7/24,0,5.1,36.9
2008/7/25,0.42,7.4,32.3
2008/7/26,2.1,6.7,26.4
2008/7/27,0.25,6.6,34.3
2008/7/28,13.18,2.7,37.3
2008/7/29,46.98,0.6,60.4
2008/7/30,6.25,1.4,224
2008/7/31,0.08,2.2,129
2008/8/1,0,2.4,69
2008/8/2,0,4.1,48.1
2008/8/3,0.25,6,41.8
2008/8/4,0,5.8,41.3
2008/8/5,0,5,34.5
2008/8/6,0.32,4.5,30.9
2008/8/7,0,4.4,36.5
2008/8/8,0.42,4.9,28.4
2008/8/9,0,4.8,25.6
2008/8/10,19.87,5.2,25.2
2008/8/11,0.17,4.5,34.1
2008/8/12,2.78,5.6,34.5
2008/8/13,0,5.3,34.3
2008/8/14,4.5,5.4,27.7
2008/8/15,30.4,3.6,20.9
2008/8/16,0.08,3.9,92.6
2008/8/17,0,5,40.3
2008/8/18,0,5.7,34.3
2008/8/19,0,5.5,30
2008/8/20,1.75,5.6,24.7
2008/8/21,0,5.6,22.5
2008/8/22,0.05,6.7,21.9
2008/8/23,0,6.4,19.4
2008/8/24,4.32,3.8,16.6
2008/8/25,4.63,2.2,22.1
2008/8/26,10.58,3.3,19.5
2008/8/27,23.63,2.9,22.4
2008/8/28,1.77,1.9,54.2
2008/8/29,0,3,43.7
2008/8/30,0,2.7,28.3
2008/8/31,9.43,3.7,18.7
2008/9/1,0,4.2,21.4
2008/9/2,0,4.3,21.8
2008/9/3,0,3.3,20.7
2008/9/4,20.55,2.7,14.8
2008/9/5,7.65,2.6,29.7
2008/9/6,11.33,3.3,29.1
2008/9/7,0.77,3.6,37.4
2008/9/8,0,4.3,27
2008/9/9,0.08,5.2,20
2008/9/10,0.08,5.1,16
2008/9/11,0.4,4.7,13.5
2008/9/12,0,5.6,18
2008/9/13,0,4.3,25.6
2008/9/14,0.5,2.9,22.8
2008/9/15,0.18,1.8,19.1
2008/9/16,0,3.4,14.3
2008/9/17,1.75,5,9.69
2008/9/18,0,3.5,10.5
2008/9/19,0.25,4.2,10.2
2008/9/20,1.17,5.3,10.4
2008/9/21,0.83,4.3,10.6
2008/9/22,0,5.5,8.63
2008/9/23,0,4.4,12
2008/9/24,0,4.4,9.49
2008/9/25,0,5.2,10.1
2008/9/26,14.38,6.2,11.5
2008/9/27,0,7.7,17
2008/9/28,0,7.1,18.8
2008/9/29,0,3.3,25.2
2008/9/30,0,3.5,17.3
2008/10/1,0,3.4,12.3
2008/10/2,0,3.3,7.35
2008/10/3,0,3.4,9.63
2008/10/4,9.65,2.4,8.28
2008/10/5,18.6,0.4,12.9
2008/10/6,13.27,0.8,32.7
2008/10/7,0,2.8,29.5
2008/10/8,0,2.6,25.2
2008/10/9,0,2.9,17.3
2008/10/10,0,2.7,13.1
2008/10/11,0,3.8,11.9
2008/10/12,0,3.8,6.49
2008/10/13,0,1.8,6.61
2008/10/14,0,2.3,14.8
2008/10/15,0,3.6,16.9
2008/10/16,7.33,1.2,15
2008/10/17,6.15,0.2,22
2008/10/18,1.42,0.8,20
2008/10/19,0,2.3,14.3
2008/10/20,0,3,14
2008/10/21,0,3.3,13.8
2008/10/22,17.37,1.4,10.4
2008/10/23,0.25,1.9,13.2
2008/10/24,0.83,3.5,17.6
2008/10/25,0,2,19.6
2008/10/26,0.75,1.2,12.6
2008/10/27,0.08,2.4,12.8
2008/10/28,0,2.8,12.1
2008/10/29,0,1.9,12
2008/10/30,5.35,1.4,10.9
2008/10/31,0.17,1.3,11.9
2008/11/1,1.58,1.1,12.8
2008/11/2,30.75,0.2,13.3
2008/11/3,4.88,0.3,37.6
2008/11/4,0.3,1.2,36.2
2008/11/5,7.9,0.3,26.6
2008/11/6,0,1.5,24.6
2008/11/7,5.83,2.8,20.7
2008/11/8,7.55,3.3,29.1
2008/11/9,0,4,29.8
2008/11/10,0,3.7,28.5
2008/11/11,0,3.3,27.8
2008/11/12,0,1.8,15.7
2008/11/13,0,1.9,18.9
2008/11/14,0,1.8,12.5
2008/11/15,0,2.1,12.2
2008/11/16,0,1.9,11.7
2008/11/17,0.42,2.7,10.4
2008/11/18,0.58,1.4,11.7
2008/11/19,0,2.9,12.1
2008/11/20,0.08,3.4,11.2
2008/11/21,0,1.5,12
2008/11/22,0.48,1.3,11.6
2008/11/23,0.17,1.5,11.4
2008/11/24,0,2.4,11.1
2008/11/25,0,2.7,10.4
2008/11/26,0,1.9,16.1
2008/11/27,0,3.4,14.9
2008/11/28,0,2.5,14.8
2008/11/29,0,2.1,16.3
2008/11/30,0,1.8,10.1
2008/12/1,0,1.9,7.49
2008/12/2,0,1.4,6.5
2008/12/3,0,1.1,9.25
2008/12/4,0,1.5,9.29
2008/12/5,0,3.4,12.6
2008/12/6,0,2.4,10.8
2008/12/7,0,1.4,7.87
2008/12/8,0,1.8,9.18
2008/12/9,0,1.7,8.5
2008/12/10,0,1.5,9.22
2008/12/11,0,1,8.38
2008/12/12,0,1.4,10.3
2008/12/13,0,1.3,9.46
2008/12/14,0,1.6,7.76
2008/12/15,0,1.8,10.1
2008/12/16,0,1.9,10.1
2008/12/17,0,1.3,8.28
2008/12/18,0,1.2,7.35
2008/12/19,0,1.1,9.15
2008/12/20,0,1.4,8.48
2008/12/21,0.08,1.5,10.2
2008/12/22,0,2,9.3
2008/12/23,0.08,1.1,7.93
2008/12/24,0,1.1,7.77
2008/12/25,0,2.4,8.33
2008/12/26,0,1.4,6.87
2008/12/27,5.42,0.3,6.37
2008/12/28,0.17,0.2,8.11
2008/12/29,1.25,0.7,7.45
2008/12/30,0.52,1.4,9.46
2008/12/31,0,2.1,7.94
2009/1/1,0,2,8.27
2009/1/2,0,2.4,7.21
2009/1/3,0,1.5,6.7
2009/1/4,0,0.7,7.28
2009/1/5,0,1.2,6.7
2009/1/6,0.27,0.9,6.7
2009/1/7,0.92,0.4,6.29
2009/1/8,0,1.2,6.95
2009/1/9,0.08,2.5,5.77
2009/1/10,0,1.9,6.05
2009/1/11,0,1.7,9.41
2009/1/12,0,2,12.6
2009/1/13,0,2.2,16.2
2009/1/14,0,1.5,11.7
2009/1/15,0,1.8,6.36
2009/1/16,0,2,5.06
2009/1/17,0,1.4,4.88
2009/1/18,0,1.2,4.88
2009/1/19,0,1.2,4.84
2009/1/20,0,0.6,4.92
2009/1/21,12.78,0.3,4.96
2009/1/22,1.03,0.2,11.9
2009/1/23,0.25,1.8,14.2
2009/1/24,0,2.6,9.61
2009/1/25,0.08,1,8.45
2009/1/26,13.92,0.1,9.94
2009/1/27,2.68,0.3,10.6
2009/1/28,1.2,0.9,9.98
2009/1/29,15.93,0.8,13.4
2009/1/30,0.08,0.6,20.3
2009/1/31,0,0.7,21.8
2009/2/1,0,1,12.8
2009/2/2,0.08,0.9,11.8
2009/2/3,0,0.5,8.24
2009/2/4,0.65,0.7,7.42
2009/2/5,0,1,9.95
2009/2/6,0,1.7,8.23
2009/2/7,0,1.7,7.37
2009/2/8,0,2.6,7.5
2009/2/9,0,2.3,6.98
2009/2/10,0,3.1,6.67
2009/2/11,0,2.6,10.4
2009/2/12,0,4.4,9.28
2009/2/13,0,2.7,11.8
2009/2/14,1.42,1.6,10.1
2009/2/15,8.87,3,7.58
2009/2/16,2.4,3.4,7.51
2009/2/17,1.47,1.5,8.26
2009/2/18,0,1.5,9.76
2009/2/19,0.17,3.3,8.58
2009/2/20,0,2.8,7.56
2009/2/21,3.08,1.5,8.57
2009/2/22,0,0.8,17.7
2009/2/23,0.08,1.1,9.23
2009/2/24,0,1.3,6.57
2009/2/25,15.2,3.3,5.85
2009/2/26,2.97,2,7.97
2009/2/27,3.38,1.6,16.8
2009/2/28,5.62,0.4,17.7
2009/3/1,7.7,0.7,8.89
2009/3/2,15.32,0.7,14.4
2009/3/3,19.78,0.1,32.3
2009/3/4,65.6,0.1,93
2009/3/5,27.18,0.1,407
2009/3/6,4.33,0.3,191
2009/3/7,1.65,0.2,85.1
2009/3/8,8.4,0.2,71.9
2009/3/9,0.08,1.8,68.5
2009/3/10,0,2.3,57.9
2009/3/11,0.67,1.3,52.3
2009/3/12,0.25,1.2,48.4
2009/3/13,25,1.8,52.3
2009/3/14,0,3,104
2009/3/15,0,2.4,64.8
2009/3/16,0,1.9,49.7
2009/3/17,0,2.3,39.8
2009/3/18,0,1.4,28
2009/3/19,0,0.7,23.3
2009/3/20,3.05,1.1,23.5
2009/3/21,7.75,0.2,18.3
2009/3/22,8.25,1.4,34.2
2009/3/23,46.02,2.2,67.3
2009/3/24,0.08,2.3,196
2009/3/25,0,3,77.8
2009/3/26,20.18,3.2,51.8
2009/3/27,61.1,0.1,136
2009/3/28,7.03,0.5,566
2009/3/29,0,1.8,208
2009/3/30,0.17,0.9,104
2009/3/31,0,2.9,75.9
2009/4/1,0,4.2,60
2009/4/2,8.88,1.2,53.1
2009/4/3,10.5,0.7,58
2009/4/4,11.73,0.3,69.7
2009/4/5,4.07,1.2,80.2
2009/4/6,0,2.1,84.3
2009/4/7,0,2,64.5
2009/4/8,0,2.6,52.8
2009/4/9,0,3.6,47.2
2009/4/10,0,2.4,44.2
2009/4/11,1.67,1.5,37
2009/4/12,31.78,0.7,37.2
2009/4/13,1.08,1.3,65.7
2009/4/14,0,3.6,56.5
2009/4/15,0,4.2,46.7
2009/4/16,0.78,1.5,33
2009/4/17,0.25,4.4,26.9
2009/4/18,15.57,2.7,26.8
2009/4/19,25.02,0.2,48
2009/4/20,0.67,2.1,77.4
2009/4/21,0,4.7,66.4
2009/4/22,0,4.9,51
2009/4/23,0,4,45.3
2009/4/24,12.1,0.3,41.6
2009/4/25,0.25,2.6,43.8
2009/4/26,0,4.5,43.3
2009/4/27,0,5.1,31.9
2009/4/28,0,6.8,27.2
2009/4/29,0,2,12.3
2009/4/30,0,3.8,12.8
2009/5/1,0,4.9,16.1
2009/5/2,5.92,3.3,17.2
2009/5/3,0.67,2,18.2
2009/5/4,0,5,11
2009/5/5,0,4.1,12.4
2009/5/6,0,5.5,10.1
2009/5/7,0,6.1,12
2009/5/8,0,5.7,11.6
2009/5/9,0,5.3,8.93
2009/5/10,0,5.3,6.64
